cid,sid,car_lon,car_lat,days,times
7,0,-1070248.482,3929209.85,"Friday, May 9, 2008",1:15
7,2,-1070204.482,3929215.637,"Friday, May 9, 2008",1:15
7,3,-1070176.846,3929225.188,"Friday, May 9, 2008",1:15
9,0,-1069788.662,3929441.085,"Friday, May 9, 2008",1:15
11,3,-1069240.976,3929752.537,"Friday, May 9, 2008",1:16
11,6,-1069149.758,3929768.955,"Friday, May 9, 2008",1:16
13,0,-1068806.478,3929766.808,"Friday, May 9, 2008",1:17
14,0,-1068534.185,3929725.054,"Friday, May 9, 2008",1:17
14,3,-1068442.233,3929711.198,"Friday, May 9, 2008",1:17
15,4,-1068143.478,3929658.15,"Friday, May 9, 2008",1:17
16,0,-1068009.326,3929643.418,"Friday, May 9, 2008",1:17
16,3,-1067914.952,3929645.585,"Friday, May 9, 2008",1:18
16,4,-1067883.618,3929646.781,"Friday, May 9, 2008",1:18
17,2,-1067694.405,3929660.293,"Friday, May 9, 2008",1:18
19,1,-1067227.111,3929746.309,"Friday, May 9, 2008",1:18
19,8,-1067028.173,3929810.942,"Friday, May 9, 2008",1:18
21,9,-1066657.144,3929969.941,"Friday, May 9, 2008",1:19
22,5,-1066414.487,3930126.813,"Friday, May 9, 2008",1:20
22,8,-1066342.575,3930163.566,"Friday, May 9, 2008",1:20
23,4,-1066237.071,3930225.102,"Friday, May 9, 2008",1:21
25,0,-1065867.954,3930445.127,"Friday, May 9, 2008",1:21
25,5,-1065733.257,3930518.855,"Friday, May 9, 2008",1:21
27,3,-1065318.471,3930735.126,"Friday, May 9, 2008",1:22
28,5,-1065023.739,3930864.909,"Friday, May 9, 2008",1:22
30,3,-1064610.141,3931018.371,"Friday, May 9, 2008",1:23
30,4,-1064580.216,3931028.316,"Friday, May 9, 2008",1:23
30,7,-1064489.726,3931060.347,"Friday, May 9, 2008",1:23
31,0,-1064459.555,3931070.83,"Friday, May 9, 2008",1:23
31,1,-1064429.217,3931080.322,"Friday, May 9, 2008",1:23
31,2,-1064399.473,3931090.112,"Friday, May 9, 2008",1:23
31,5,-1064310.864,3931116.854,"Friday, May 9, 2008",1:23
220,6,-1064119.637,3931206.228,"Friday, May 9, 2008",10:51
222,9,-1064686.046,3931018.048,"Friday, May 9, 2008",10:51
223,10,-1064941.479,3930928.487,"Friday, May 9, 2008",10:51
225,2,-1065265.173,3930792.468,"Friday, May 9, 2008",10:52
225,4,-1065315.918,3930768.7,"Friday, May 9, 2008",10:52
226,1,-1065464.271,3930694.795,"Friday, May 9, 2008",10:52
227,5,-1065801.834,3930508.967,"Friday, May 9, 2008",10:52
228,3,-1065977.271,3930405.315,"Friday, May 9, 2008",10:52
229,6,-1066255.227,3930240.776,"Friday, May 9, 2008",10:52
230,4,-1066477.553,3930104.2,"Friday, May 9, 2008",10:53
231,6,-1066655.407,3930008.11,"Friday, May 9, 2008",10:53
231,7,-1066655.407,3930008.11,"Friday, May 9, 2008",10:53
232,4,-1066911.007,3929863.701,"Friday, May 9, 2008",10:54
232,6,-1066973.107,3929836.481,"Friday, May 9, 2008",10:54
234,3,-1067363.638,3929708.856,"Friday, May 9, 2008",10:54
235,3,-1067631.229,3929666.659,"Friday, May 9, 2008",10:54
235,8,-1067754.35,3929657.827,"Friday, May 9, 2008",10:54
238,3,-1068461.793,3929726.155,"Friday, May 9, 2008",10:55
240,0,-1068867.175,3929785.157,"Friday, May 9, 2008",10:55
245,5,-1070206.12,3929327.457,"Friday, May 9, 2008",10:56
246,3,-1070473.445,3929290.101,"Friday, May 9, 2008",10:56
247,1,-1070647.306,3929326.957,"Friday, May 9, 2008",10:57
248,5,-1070991.141,3929424.174,"Friday, May 9, 2008",10:57
249,7,-1071235.364,3929677.885,"Friday, May 9, 2008",10:58
253,1,-1071966.735,3930090.082,"Friday, May 9, 2008",10:58
254,4,-1072318.394,3930165.128,"Friday, May 9, 2008",10:59
255,9,-1072638.853,3930228.434,"Friday, May 9, 2008",11:00
256,6,-1072887.479,3930284.019,"Friday, May 9, 2008",11:00
259,3,-1073563.169,3930284.422,"Friday, May 9, 2008",11:01
261,1,-1074009.517,3930218.069,"Friday, May 9, 2008",11:01
261,3,-1074059.623,3930208.537,"Friday, May 9, 2008",11:02
261,4,-1074082.279,3930203.741,"Friday, May 9, 2008",11:02
262,8,-1074334.48,3930317.794,"Friday, May 9, 2008",11:02
265,10,-1074569.767,3928799.235,"Friday, May 9, 2008",11:10
265,16,-1074577.244,3928807.09,"Friday, May 9, 2008",11:10
265,18,-1074582.159,3928784.165,"Friday, May 9, 2008",11:10
265,20,-1074585.341,3928758.214,"Friday, May 9, 2008",11:10
265,22,-1074589.818,3928731.338,"Friday, May 9, 2008",11:11
265,25,-1074604.095,3928694.155,"Friday, May 9, 2008",11:11
265,34,-1074604.936,3928693.917,"Friday, May 9, 2008",11:12
265,37,-1074604.936,3928693.917,"Friday, May 9, 2008",11:12
265,38,-1074604.936,3928693.917,"Friday, May 9, 2008",11:12
265,43,-1074610.158,3928646.854,"Friday, May 9, 2008",11:12
267,8,-1074719.067,3928119.178,"Friday, May 9, 2008",11:13
269,1,-1074750.501,3927813.846,"Friday, May 9, 2008",11:16
269,6,-1074769.809,3927727.838,"Friday, May 9, 2008",11:16
269,22,-1074788.198,3927635.092,"Friday, May 9, 2008",11:17
273,0,-1074876.457,3926374.475,"Friday, May 9, 2008",23:48
274,1,-1074900.672,3926079.119,"Friday, May 9, 2008",23:49
274,3,-1074917.297,3926018.949,"Friday, May 9, 2008",23:49
274,8,-1074953.621,3925870.517,"Friday, May 9, 2008",23:49
275,3,-1074983.485,3925752.1,"Friday, May 9, 2008",23:49
275,6,-1075001.037,3925663.271,"Friday, May 9, 2008",23:50
277,0,-1075048.164,3925293.547,"Friday, May 9, 2008",23:50
277,3,-1075042.635,3925198.817,"Friday, May 9, 2008",23:50
278,2,-1075074.037,3924958.647,"Friday, May 9, 2008",23:50
279,0,-1075179.749,3924775.556,"Friday, May 9, 2008",23:51
279,4,-1075288.784,3924747.54,"Friday, May 9, 2008",23:51
282,3,-1076041.237,3924776.778,"Friday, May 9, 2008",23:52
283,1,-1076442.837,3924620.485,"Friday, May 9, 2008",23:52
283,5,-1076546.097,3924538.494,"Friday, May 9, 2008",23:52
284,2,-1076753.564,3924403.498,"Friday, May 9, 2008",23:52
284,5,-1076820.744,3924356.666,"Friday, May 9, 2008",23:52
285,0,-1076840.217,3924341.468,"Friday, May 9, 2008",23:53
287,7,-1077498.157,3924087.62,"Friday, May 9, 2008",23:54
288,6,-1077749.69,3924009.345,"Friday, May 9, 2008",23:54
289,7,-1077991.466,3923938.292,"Friday, May 9, 2008",23:54
289,10,-1078062.775,3923916.938,"Friday, May 9, 2008",23:54
290,0,-1078087.406,3923909.187,"Friday, May 9, 2008",23:54
291,9,-1078557.914,3923882.033,"Friday, May 9, 2008",23:55
292,7,-1078619.887,3923906.45,"Friday, May 9, 2008",23:56
295,5,-1078676.293,3923055.941,"Friday, May 9, 2008",23:58
296,4,-1078962.136,3923084.55,"Friday, May 9, 2008",23:58
297,4,-1079217.845,3923142.584,"Friday, May 9, 2008",23:59
297,9,-1079227.114,3923147.467,"Friday, May 9, 2008",23:59
298,12,-1079325.971,3922922.757,"Saturday, May 10, 2008",0:01
298,17,-1079322.333,3922934.511,"Saturday, May 10, 2008",0:02
298,23,-1079319.446,3922931.692,"Saturday, May 10, 2008",0:02
298,26,-1079319.446,3922931.692,"Saturday, May 10, 2008",0:02
298,80,-1079322.905,3923153.746,"Saturday, May 10, 2008",0:21
298,84,-1079389.624,3923180.529,"Saturday, May 10, 2008",0:30
298,90,-1079366.665,3923199.01,"Saturday, May 10, 2008",0:30
298,103,-1079338.488,3923160.299,"Saturday, May 10, 2008",0:31
298,108,-1079338.83,3923160.161,"Saturday, May 10, 2008",0:32
298,135,-1079344.587,3923168.697,"Saturday, May 10, 2008",0:34
298,137,-1079344.587,3923168.697,"Saturday, May 10, 2008",0:34
298,153,-1079345.055,3923168.778,"Saturday, May 10, 2008",0:35
298,164,-1079345.682,3923168.886,"Saturday, May 10, 2008",0:36
298,190,-1079378.808,3923181.761,"Saturday, May 10, 2008",0:47
298,210,-1079380.922,3923183.472,"Saturday, May 10, 2008",0:48
