cid,sid,car_lon,car_lat,days,times
27,7,-328233.7696,4473088.709,"Saturday, February 14, 2009",2:55
27,11,-328246.7533,4473087.497,"Saturday, February 14, 2009",2:56
27,18,-328186.6617,4473107.376,"Saturday, February 14, 2009",2:59
27,28,-328306.368,4473124.644,"Saturday, February 14, 2009",2:59
27,35,-328396.0689,4473117.962,"Saturday, February 14, 2009",2:59
28,8,-328503.8704,4473118.719,"Saturday, February 14, 2009",3:00
28,13,-328547.4538,4473122.939,"Saturday, February 14, 2009",3:00
28,15,-328571.755,4473126.541,"Saturday, February 14, 2009",3:00
28,16,-328579.5248,4473128.149,"Saturday, February 14, 2009",3:00
28,22,-328563.1443,4473048.433,"Saturday, February 14, 2009",3:01
28,28,-328534.1837,4473088.623,"Saturday, February 14, 2009",3:01
28,38,-328451.7253,4473117.502,"Saturday, February 14, 2009",3:02
28,39,-328455.3531,4473108.134,"Saturday, February 14, 2009",3:02
28,40,-328447.4572,4473106.332,"Saturday, February 14, 2009",3:02
28,43,-328419.0676,4473122.93,"Saturday, February 14, 2009",3:03
28,53,-328378.322,4473087.481,"Saturday, February 14, 2009",3:04
28,54,-328378.0791,4473075.243,"Saturday, February 14, 2009",3:05
28,56,-328392.5548,4473056.567,"Saturday, February 14, 2009",3:05
28,65,-328467.1454,4473073.009,"Saturday, February 14, 2009",3:06
28,74,-328505.9118,4473015.87,"Saturday, February 14, 2009",3:07
28,80,-328462.5658,4472984.45,"Saturday, February 14, 2009",3:07
58,14,-328286.4225,4473062.945,"Monday, March 23, 2009",3:03
58,23,-328281.7492,4472919.934,"Monday, March 23, 2009",3:08
58,28,-328289.7682,4472857.348,"Monday, March 23, 2009",3:09
58,30,-328289.7082,4472836.885,"Monday, March 23, 2009",3:09
58,31,-328293.6806,4472820.424,"Monday, March 23, 2009",3:09
279,9,-327221.6371,4473776.923,"Monday, March 23, 2009",7:38
279,10,-327233.7046,4473781.445,"Monday, March 23, 2009",7:38
280,10,-327500.1628,4473793.004,"Monday, March 23, 2009",7:39
281,0,-327624.0578,4473804.9,"Monday, March 23, 2009",7:39
