cid,sid,car_lon,car_lat,days,times
82,4,-327038.8782,4467619.299,"Monday, March 23, 2009",3:30
82,5,-327027.4566,4467618.05,"Monday, March 23, 2009",3:30
82,8,-326994.3261,4467615.745,"Monday, March 23, 2009",3:30
83,1,-326818.2725,4467604.187,"Monday, March 23, 2009",3:30
83,24,-326678.0578,4467519.957,"Monday, March 23, 2009",3:32
83,25,-326673.9833,4467506.941,"Monday, March 23, 2009",3:32
83,26,-326667.8801,4467496.7,"Monday, March 23, 2009",3:32
83,30,-326646.0398,4467446.633,"Monday, March 23, 2009",3:32
84,12,-326585.7937,4467283.854,"Monday, March 23, 2009",3:33
85,2,-326600.6052,4467141.67,"Monday, March 23, 2009",3:33
85,6,-326608.6962,4467087.554,"Monday, March 23, 2009",3:33
85,17,-326623.7272,4466964.541,"Monday, March 23, 2009",3:38
86,5,-326626.7491,4466849.61,"Monday, March 23, 2009",3:38
87,0,-326658.287,4466670.765,"Monday, March 23, 2009",3:38
87,12,-326669.1497,4466533.038,"Monday, March 23, 2009",3:39
87,17,-326679.2657,4466474.829,"Monday, March 23, 2009",3:40
87,20,-326685.2181,4466433.612,"Monday, March 23, 2009",3:40
89,10,-326674.4051,4466035.195,"Monday, March 23, 2009",3:41
89,12,-326676.6574,4466009.343,"Monday, March 23, 2009",3:41
89,13,-326676.6603,4465994.712,"Monday, March 23, 2009",3:41
91,15,-326708.2292,4465437.221,"Monday, March 23, 2009",3:43
92,1,-326714.1099,4465368.784,"Monday, March 23, 2009",3:44
93,4,-326729.7766,4465087.779,"Monday, March 23, 2009",3:44
93,16,-326729.9758,4464913.969,"Monday, March 23, 2009",3:45
94,14,-326577.0196,4464833.252,"Monday, March 23, 2009",3:45
94,16,-326555.7819,4464829.243,"Monday, March 23, 2009",3:45
94,23,-326484.6883,4464835.559,"Monday, March 23, 2009",3:46
95,4,-326432.5096,4464839.436,"Monday, March 23, 2009",3:46
95,12,-326360.7477,4464821.452,"Monday, March 23, 2009",3:46
95,15,-326330.889,4464814.261,"Monday, March 23, 2009",3:46
96,1,-326204.5834,4464799.335,"Monday, March 23, 2009",3:46
96,28,-326114.8155,4464611.204,"Monday, March 23, 2009",3:49
96,29,-326117.257,4464595.51,"Monday, March 23, 2009",3:49
97,6,-326127.8784,4464492.866,"Monday, March 23, 2009",3:49
98,15,-326165.7006,4464105.21,"Monday, March 23, 2009",3:50
99,9,-326206.1448,4463910.826,"Monday, March 23, 2009",3:51
100,0,-326211.2308,4463798.004,"Monday, March 23, 2009",3:52
100,8,-326219.3613,4463696.947,"Monday, March 23, 2009",3:52
100,13,-326220.8154,4463635.923,"Monday, March 23, 2009",3:52
101,6,-326227.3335,4463458.291,"Monday, March 23, 2009",3:54
101,7,-326227.8536,4463442.951,"Monday, March 23, 2009",3:54
101,9,-326228.1067,4463414.077,"Monday, March 23, 2009",3:54
101,23,-326366.7981,4463375.339,"Monday, March 23, 2009",3:54
102,2,-326439.1464,4463368.209,"Monday, March 23, 2009",3:55
102,4,-326459.2897,4463366.465,"Monday, March 23, 2009",3:55
104,10,-326685.2121,4462870.382,"Monday, March 23, 2009",3:56
105,1,-326696.2947,4462752.954,"Monday, March 23, 2009",3:56
105,14,-326716.5457,4462588.646,"Monday, March 23, 2009",3:56
106,4,-326725.6087,4462449.968,"Monday, March 23, 2009",3:57
106,12,-326731.9552,4462356.048,"Monday, March 23, 2009",3:57
107,3,-326791.8374,4462214.097,"Monday, March 23, 2009",3:57
108,3,-326812.2492,4461954.258,"Monday, March 23, 2009",3:58
108,7,-326799.926,4461913.491,"Monday, March 23, 2009",3:58
108,8,-326795.2598,4461903.217,"Monday, March 23, 2009",3:58
108,11,-326782.1612,4461873.448,"Monday, March 23, 2009",3:58
108,17,-326782.1551,4461795.347,"Monday, March 23, 2009",3:58
109,6,-326797.7214,4461669.96,"Monday, March 23, 2009",3:59
109,8,-326800.0657,4461647.126,"Monday, March 23, 2009",3:59
110,17,-326830.065,4461275.519,"Monday, March 23, 2009",4:00
111,4,-326839.5667,4461199.019,"Monday, March 23, 2009",4:00
112,2,-326845.9223,4460963.18,"Monday, March 23, 2009",4:00
112,4,-326848.6463,4460935.511,"Monday, March 23, 2009",4:00
112,6,-326855.5247,4460912.236,"Monday, March 23, 2009",4:00
112,9,-326852.1095,4460881.261,"Monday, March 23, 2009",4:01
112,10,-326850.1402,4460868.848,"Monday, March 23, 2009",4:01
113,3,-326852.1816,4460677.773,"Monday, March 23, 2009",4:02
113,7,-326858.0925,4460601.083,"Monday, March 23, 2009",4:02
113,12,-326869.0445,4460524.561,"Monday, March 23, 2009",4:02
114,1,-326885.4368,4460460.458,"Monday, March 23, 2009",4:03
114,4,-326893.0169,4460425.423,"Monday, March 23, 2009",4:03
114,10,-326908.6046,4460350.16,"Monday, March 23, 2009",4:03
114,12,-326913.3146,4460325.523,"Monday, March 23, 2009",4:03
114,15,-326920.4501,4460289.313,"Monday, March 23, 2009",4:03
116,8,-327043.5433,4459894.263,"Monday, March 23, 2009",4:04
116,19,-327124.5871,4459825.004,"Monday, March 23, 2009",4:04
117,15,-327102.012,4459646.088,"Monday, March 23, 2009",4:05
118,3,-327080.1619,4459502.912,"Monday, March 23, 2009",4:05
118,12,-327090.686,4459389.173,"Monday, March 23, 2009",4:06
118,17,-327097.9196,4459328.194,"Monday, March 23, 2009",4:06
119,5,-327114.9891,4459223.436,"Monday, March 23, 2009",4:06
119,11,-327130.0072,4459146.794,"Monday, March 23, 2009",4:06
119,16,-327141.6913,4459087.426,"Monday, March 23, 2009",4:06
126,19,-326933.8793,4457814.163,"Monday, March 23, 2009",4:10
127,16,-326735.3788,4457859.171,"Monday, March 23, 2009",4:11
127,22,-326671.5094,4457875.671,"Monday, March 23, 2009",4:11
128,21,-326424.7141,4457941.7,"Monday, March 23, 2009",4:12
130,3,-326137.2691,4458009.119,"Monday, March 23, 2009",4:12
130,4,-326128.3005,4458010.406,"Monday, March 23, 2009",4:12
130,8,-326093.7462,4458012.838,"Monday, March 23, 2009",4:12
130,12,-326046.4546,4458023.264,"Monday, March 23, 2009",4:12
130,14,-326025.0409,4458029.942,"Monday, March 23, 2009",4:12
130,19,-325972.9693,4458040.423,"Monday, March 23, 2009",4:13
130,21,-325954.1854,4458042.882,"Monday, March 23, 2009",4:13
131,0,-325913.2027,4458051.181,"Monday, March 23, 2009",4:13
131,12,-325792.9625,4458079.198,"Monday, March 23, 2009",4:13
131,18,-325737.8759,4458093.463,"Monday, March 23, 2009",4:13
131,22,-325699.3127,4458103.546,"Monday, March 23, 2009",4:13
132,6,-325603.1119,4458127.414,"Monday, March 23, 2009",4:13
132,20,-325454.4892,4458162.303,"Monday, March 23, 2009",4:13
133,6,-325340.9519,4458191.237,"Monday, March 23, 2009",4:14
133,9,-325305.8219,4458199.06,"Monday, March 23, 2009",4:14
133,13,-325260.6536,4458208.595,"Monday, March 23, 2009",4:14
133,14,-325250.1005,4458211.208,"Monday, March 23, 2009",4:14
133,17,-325218.7183,4458216.421,"Monday, March 23, 2009",4:14
133,18,-325208.8331,4458218.161,"Monday, March 23, 2009",4:14
133,20,-325189.4355,4458220.927,"Monday, March 23, 2009",4:14
133,22,-325169.9601,4458223.133,"Monday, March 23, 2009",4:14
134,0,-325160.0102,4458224.112,"Monday, March 23, 2009",4:14
134,2,-325138.8516,4458225.752,"Monday, March 23, 2009",4:14
134,5,-325104.1171,4458227.233,"Monday, March 23, 2009",4:14
134,7,-325080.0058,4458228.169,"Monday, March 23, 2009",4:14
134,22,-324922.0688,4458225.067,"Monday, March 23, 2009",4:15
135,2,-324884.6605,4458227.193,"Monday, March 23, 2009",4:15
135,10,-324804.7374,4458219.819,"Monday, March 23, 2009",4:15
135,14,-324759.8247,4458215.126,"Monday, March 23, 2009",4:15
135,20,-324694.6627,4458206.351,"Monday, March 23, 2009",4:15
136,5,-324598.3399,4458198.131,"Monday, March 23, 2009",4:15
136,14,-324514.0187,4458188.581,"Monday, March 23, 2009",4:15
136,15,-324504.4449,4458187.54,"Monday, March 23, 2009",4:15
136,21,-324446.4279,4458187.619,"Monday, March 23, 2009",4:15
137,7,-324312.0883,4458177.714,"Monday, March 23, 2009",4:16
137,17,-324208.5496,4458164.018,"Monday, March 23, 2009",4:16
138,1,-324133.8401,4458157.96,"Monday, March 23, 2009",4:16
139,6,-323808.4168,4458117.359,"Monday, March 23, 2009",4:17
139,9,-323768.4864,4458113.394,"Monday, March 23, 2009",4:17
139,14,-323705.7362,4458106.399,"Monday, March 23, 2009",4:17
141,5,-323345.5752,4458060.716,"Monday, March 23, 2009",4:17
141,13,-323256.0974,4458056.072,"Monday, March 23, 2009",4:18
143,11,-322748.4336,4458000.604,"Monday, March 23, 2009",4:19
144,8,-322523.4937,4457989.913,"Monday, March 23, 2009",4:19
144,13,-322470.9632,4457986.097,"Monday, March 23, 2009",4:19
149,34,-322508.9986,4457967.507,"Monday, March 23, 2009",5:26
149,36,-322533.4223,4457969.029,"Monday, March 23, 2009",5:26
150,3,-322662.9552,4457992.47,"Monday, March 23, 2009",5:27
151,12,-323010.9025,4458033.404,"Monday, March 23, 2009",5:27
151,21,-323102.7013,4458052.566,"Monday, March 23, 2009",5:27
152,17,-323298.4285,4458093.889,"Monday, March 23, 2009",5:28
152,21,-323337.2019,4458113.865,"Monday, March 23, 2009",5:28
153,3,-323407.6916,4458121.517,"Monday, March 23, 2009",5:28
153,17,-323564.6978,4458127.673,"Monday, March 23, 2009",5:28
155,1,-323904.8643,4458151.103,"Monday, March 23, 2009",5:29
155,15,-324060.2932,4458167.809,"Monday, March 23, 2009",5:29
155,17,-324078.9889,4458170.212,"Monday, March 23, 2009",5:29
155,23,-324138.91,4458188.548,"Monday, March 23, 2009",5:29
156,11,-324258.283,4458205.653,"Monday, March 23, 2009",5:30
157,6,-324462.1809,4458224.999,"Monday, March 23, 2009",5:30
157,16,-324569.314,4458240.205,"Monday, March 23, 2009",5:31
158,20,-324862.9587,4458279.084,"Monday, March 23, 2009",5:31
158,23,-324897.3284,4458278.317,"Monday, March 23, 2009",5:31
160,5,-325226.0659,4458247.258,"Monday, March 23, 2009",5:32
160,6,-325236.4967,4458245.769,"Monday, March 23, 2009",5:32
160,14,-325322.8696,4458231.132,"Monday, March 23, 2009",5:32
160,19,-325373.4848,4458220.681,"Monday, March 23, 2009",5:32
160,20,-325384.1221,4458218.651,"Monday, March 23, 2009",5:32
160,23,-325414.4047,4458212.937,"Monday, March 23, 2009",5:32
161,15,-325572.8863,4458196.397,"Monday, March 23, 2009",5:32
162,7,-325757.9508,4458154.97,"Monday, March 23, 2009",5:33
162,9,-325780.0391,4458147.429,"Monday, March 23, 2009",5:33
163,5,-325979.9102,4458085.656,"Monday, March 23, 2009",5:33
163,11,-326035.5292,4458073.129,"Monday, March 23, 2009",5:33
163,22,-326143.8511,4458056.206,"Monday, March 23, 2009",5:34
163,24,-326163.9107,4458056.701,"Monday, March 23, 2009",5:34
164,6,-326251.5082,4458024.198,"Monday, March 23, 2009",5:34
164,7,-326259.775,4458020.03,"Monday, March 23, 2009",5:34
164,8,-326268.7225,4458016.308,"Monday, March 23, 2009",5:34
164,16,-326344.2563,4458001.639,"Monday, March 23, 2009",5:34
164,21,-326392.1969,4457993.155,"Monday, March 23, 2009",5:34
165,4,-326472.9185,4457976.056,"Monday, March 23, 2009",5:34
165,15,-326582.0128,4457949.457,"Monday, March 23, 2009",5:35
166,9,-326764.029,4457891.015,"Monday, March 23, 2009",5:35
166,16,-326836.7822,4457870.032,"Monday, March 23, 2009",5:35
166,21,-326888.7867,4457857.499,"Monday, March 23, 2009",5:35
167,2,-326942.6233,4457848.151,"Monday, March 23, 2009",5:36
167,17,-327102.8584,4457811.749,"Monday, March 23, 2009",5:36
173,8,-327138.1718,4459060.01,"Monday, March 23, 2009",5:40
173,12,-327125.7956,4459109.728,"Monday, March 23, 2009",5:40
173,15,-327116.589,4459151.717,"Monday, March 23, 2009",5:40
173,16,-327113.5792,4459166.019,"Monday, March 23, 2009",5:40
173,17,-327110.1517,4459181.606,"Monday, March 23, 2009",5:40
174,0,-327102.1145,4459216.772,"Monday, March 23, 2009",5:40
174,5,-327088.4575,4459277.039,"Monday, March 23, 2009",5:40
175,10,-326970.8196,4459574.334,"Monday, March 23, 2009",5:41
176,1,-326826.317,4459628.586,"Monday, March 23, 2009",5:41
176,7,-326767.0924,4459642.401,"Monday, March 23, 2009",5:41
176,8,-326758.3526,4459645.581,"Monday, March 23, 2009",5:41
176,23,-326649.9704,4459667.181,"Monday, March 23, 2009",5:42
177,18,-326519.906,4459813.309,"Monday, March 23, 2009",5:43
177,31,-326619.4661,4459844.81,"Monday, March 23, 2009",5:43
177,41,-326723.1158,4459830.77,"Monday, March 23, 2009",5:44
178,10,-326768.7811,4460000.95,"Monday, March 23, 2009",5:44
179,17,-326758.8188,4460305.854,"Monday, March 23, 2009",5:45
179,19,-326757.4783,4460336.682,"Monday, March 23, 2009",5:45
179,20,-326756.6285,4460347.098,"Monday, March 23, 2009",5:45
180,4,-326754.2492,4460437.891,"Monday, March 23, 2009",5:45
180,5,-326752.659,4460457.8,"Monday, March 23, 2009",5:45
180,8,-326751.7472,4460488.675,"Monday, March 23, 2009",5:45
180,15,-326742.5673,4460583.412,"Monday, March 23, 2009",5:45
182,3,-326721.108,4460919.343,"Monday, March 23, 2009",5:46
182,10,-326724.1997,4461031.56,"Monday, March 23, 2009",5:47
182,18,-326720.0748,4461117.094,"Monday, March 23, 2009",5:47
183,5,-326715.5752,4461194.129,"Monday, March 23, 2009",5:47
183,12,-326708.9792,4461278.448,"Monday, March 23, 2009",5:47
184,0,-326696.0128,4461402.62,"Monday, March 23, 2009",5:48
184,12,-326688.6287,4461549.747,"Monday, March 23, 2009",5:48
186,10,-326605.644,4462031.956,"Monday, March 23, 2009",5:50
186,16,-326562.2428,4462090.487,"Monday, March 23, 2009",5:50
186,21,-326573.8305,4462130.047,"Monday, March 23, 2009",5:51
187,9,-326573.8169,4462336.909,"Monday, March 23, 2009",5:52
188,24,-326561.1338,4462573.745,"Monday, March 23, 2009",5:55
189,7,-326516.2173,4462884.602,"Monday, March 23, 2009",5:56
189,12,-326467.1183,4462870.796,"Monday, March 23, 2009",5:56
190,4,-326337.6635,4462978.494,"Monday, March 23, 2009",5:57
190,14,-326238.2048,4462986.227,"Monday, March 23, 2009",5:58
190,16,-326202.3783,4462978.004,"Monday, March 23, 2009",5:58
190,21,-326150.7042,4462959.978,"Monday, March 23, 2009",5:58
191,10,-326004.4143,4462976.875,"Monday, March 23, 2009",5:58
191,13,-325975.2851,4462970.882,"Monday, March 23, 2009",5:58
192,13,-325930.393,4463351.931,"Monday, March 23, 2009",5:59
192,21,-325843.3069,4463352.389,"Monday, March 23, 2009",6:00
194,12,-325816.854,4463842.831,"Monday, March 23, 2009",6:00
194,19,-325855.0805,4463912.507,"Monday, March 23, 2009",6:01
195,8,-325838.276,4464102.34,"Monday, March 23, 2009",6:01
195,12,-325830.5705,4464159.697,"Monday, March 23, 2009",6:01
195,13,-325823.748,4464171.905,"Monday, March 23, 2009",6:01
196,2,-325794.7912,4464192.207,"Monday, March 23, 2009",6:01
196,21,-325785.9445,4464409.748,"Monday, March 23, 2009",6:03
197,14,-325713.5866,4464615.856,"Monday, March 23, 2009",6:04
197,18,-325712.3476,4464664.344,"Monday, March 23, 2009",6:04
198,11,-325684.2265,4464842.613,"Monday, March 23, 2009",6:05
198,15,-325693.6267,4464906.15,"Monday, March 23, 2009",6:05
199,3,-325706.76,4464964.642,"Monday, March 23, 2009",6:05
199,5,-325709.7604,4464988.813,"Monday, March 23, 2009",6:05
200,1,-325683.4283,4465203.692,"Monday, March 23, 2009",6:05
200,18,-325624.0641,4465425.858,"Monday, March 23, 2009",6:06
202,2,-325662.7392,4466010.518,"Monday, March 23, 2009",6:07
203,0,-325644.2771,4466174.444,"Monday, March 23, 2009",6:08
203,16,-325580.1065,4466385.013,"Monday, March 23, 2009",6:08
204,2,-325549.4851,4466435.172,"Monday, March 23, 2009",6:09
