cid,sid,car_lon,car_lat,days,times
352,6,-322424.6769,4481015.881,"Wednesday, April 8, 2009",11:50
352,20,-322437.624,4481054.463,"Wednesday, April 8, 2009",11:53
352,37,-322384.4033,4481164.094,"Wednesday, April 8, 2009",11:55
353,3,-322354.1073,4481252.578,"Wednesday, April 8, 2009",11:56
353,7,-322324.4359,4481236.385,"Wednesday, April 8, 2009",11:56
353,13,-322286.6552,4481256.09,"Wednesday, April 8, 2009",11:57
353,16,-322285.1681,4481286.901,"Wednesday, April 8, 2009",11:57
353,18,-322271.2386,4481277.124,"Wednesday, April 8, 2009",11:57
519,9,-319347.7406,4475525.272,"Saturday, April 11, 2009",6:46
520,4,-319292.5578,4475705.09,"Saturday, April 11, 2009",6:47
521,5,-319204.0314,4476280.873,"Saturday, April 11, 2009",6:47
522,5,-319183.0498,4476489.936,"Saturday, April 11, 2009",6:47
522,11,-319170.2556,4476575.822,"Saturday, April 11, 2009",6:48
522,13,-319164.6403,4476599.615,"Saturday, April 11, 2009",6:48
523,2,-319140.8325,4476688.617,"Saturday, April 11, 2009",6:48
523,3,-319138.3604,4476704.678,"Saturday, April 11, 2009",6:48
523,8,-319125.351,4476783.22,"Saturday, April 11, 2009",6:48
523,16,-319130.3586,4476863.348,"Saturday, April 11, 2009",6:48
524,16,-319072.8175,4477096.773,"Saturday, April 11, 2009",6:50
524,18,-319063.1707,4477121.817,"Saturday, April 11, 2009",6:50
527,1,-319096.9634,4477728.346,"Saturday, April 11, 2009",6:51
527,3,-319102.8737,4477754.889,"Saturday, April 11, 2009",6:51
528,17,-319184.5531,4478127.704,"Saturday, April 11, 2009",6:51
529,17,-319238.1024,4478337.167,"Saturday, April 11, 2009",6:53
529,20,-319245.0532,4478380.716,"Saturday, April 11, 2009",6:53
531,15,-319367.8471,4478815.622,"Saturday, April 11, 2009",6:54
532,6,-319393.7601,4478985.866,"Saturday, April 11, 2009",6:55
532,8,-319392.0333,4479007.075,"Saturday, April 11, 2009",6:55
532,18,-319376.797,4479125.918,"Saturday, April 11, 2009",6:55
533,7,-319371.7251,4479238.917,"Saturday, April 11, 2009",6:55
533,15,-319376.7217,4479336.13,"Saturday, April 11, 2009",6:55
534,4,-319367.2629,4479461.603,"Saturday, April 11, 2009",6:56
534,6,-319359.1648,4479488.313,"Saturday, April 11, 2009",6:56
534,15,-319294.7773,4479590.931,"Saturday, April 11, 2009",6:56
535,18,-319111.3781,4479814.415,"Saturday, April 11, 2009",6:56
536,1,-319086.8714,4479852.674,"Saturday, April 11, 2009",6:57
536,7,-319033.0412,4479932.588,"Saturday, April 11, 2009",6:57
536,15,-318967.6556,4480031.156,"Saturday, April 11, 2009",6:57
536,16,-318963.8445,4480043.681,"Saturday, April 11, 2009",6:57
537,0,-318959.5401,4480052.785,"Saturday, April 11, 2009",6:57
537,4,-318943.3332,4480094.391,"Saturday, April 11, 2009",6:57
537,5,-318939.9617,4480104.149,"Saturday, April 11, 2009",6:57
537,8,-318931.8965,4480142.507,"Saturday, April 11, 2009",6:57
537,10,-318928.5765,4480158.475,"Saturday, April 11, 2009",6:57
537,19,-318869.4397,4480251.326,"Saturday, April 11, 2009",6:58
537,20,-318863.549,4480265.708,"Saturday, April 11, 2009",6:58
538,2,-318859.9193,4480318.986,"Saturday, April 11, 2009",6:58
539,1,-318835.6974,4480550.974,"Saturday, April 11, 2009",6:59
539,20,-318785.7678,4480780.718,"Saturday, April 11, 2009",7:00
540,1,-318786.1383,4480805.162,"Saturday, April 11, 2009",7:00
540,3,-318786.9453,4480834.902,"Saturday, April 11, 2009",7:00
540,15,-318779.3394,4480987.039,"Saturday, April 11, 2009",7:01
541,0,-318811.8949,4481049.703,"Saturday, April 11, 2009",7:01
541,8,-318817.4216,4481161.984,"Saturday, April 11, 2009",7:01
541,9,-318818.6796,4481173.011,"Saturday, April 11, 2009",7:01
541,11,-318814.7779,4481203.556,"Saturday, April 11, 2009",7:01
542,18,-318973.2748,4481357.241,"Saturday, April 11, 2009",7:03
542,20,-318995.4231,4481353.839,"Saturday, April 11, 2009",7:03
543,2,-319054.2846,4481381.449,"Saturday, April 11, 2009",7:03
543,12,-319050.3383,4481513.152,"Saturday, April 11, 2009",7:03
544,2,-319045.5153,4481632.947,"Saturday, April 11, 2009",7:04
544,8,-319041.8904,4481715.325,"Saturday, April 11, 2009",7:04
546,13,-318930.9596,4482271.022,"Saturday, April 11, 2009",7:05
546,19,-318914.919,4482358.806,"Saturday, April 11, 2009",7:06
547,1,-318906.708,4482391.889,"Saturday, April 11, 2009",7:06
547,5,-318890.7874,4482454.72,"Saturday, April 11, 2009",7:06
547,6,-318887.394,4482464.677,"Saturday, April 11, 2009",7:06
547,18,-318838.1638,4482609.663,"Saturday, April 11, 2009",7:08
548,0,-318833.5122,4482623.234,"Saturday, April 11, 2009",7:08
548,1,-318830.3527,4482635.098,"Saturday, April 11, 2009",7:08
548,10,-318805.351,4482735.038,"Saturday, April 11, 2009",7:09
548,13,-318801.3461,4482766.518,"Saturday, April 11, 2009",7:09
549,5,-318779.6973,4482927.072,"Saturday, April 11, 2009",7:12
549,6,-318778.6872,4482938.979,"Saturday, April 11, 2009",7:12
549,15,-318768.8795,4483038.331,"Saturday, April 11, 2009",7:15
550,1,-318756.9114,4483140.444,"Saturday, April 11, 2009",7:16
550,4,-318756.8137,4483177.034,"Saturday, April 11, 2009",7:16
550,10,-318756.3135,4483245.304,"Saturday, April 11, 2009",7:18
550,12,-318756.779,4483270.119,"Saturday, April 11, 2009",7:18
550,14,-318759.4862,4483290.313,"Saturday, April 11, 2009",7:19
550,20,-318765.8266,4483373.776,"Saturday, April 11, 2009",7:20
