pid,tags_poi,poi_lon,poi_lat
26882571,"amenity=fuel,name:en=Sinopec",-64517.71423,3367488.924
27181040,"amenity=cafe,name:en=Starbucks",-62773.25888,3363103.016
27246222,"amenity=restaurant,name:en=New White Deer Restaurant",-62984.09648,3363947.508
27262517,"amenity=restaurant,name:en=Chuan Wei Guan",-61980.5782,3363451.95
33616645,"amenity=fast_food,name:en=KFC",-62189.99302,3364808.561
33706351,amenity=atm,-60763.96761,3365991.867
34111096,amenity=restaurant,-62941.39606,3363396.595
35278382,"amenity=restaurant,name:en=Yuanlu Sushi",-66034.21183,3365744.589
150133186,"amenity=bus_station,name:en=Hangzhou East Bus Station",-58366.65275,3365338.373
183485300,"shop=doityourself,name:en=B&Q",-58213.35247,3362900.109
186574815,amenity=pub,-65738.70177,3363490.163
188351869,amenity=pub,-63465.38356,3363853.432
189302407,"amenity=restaurant,name:en=Grandma's Kitchen",-65807.33115,3364475.629
236863989,"amenity=cafe,name:en=C. Straits Cafe",-61335.84026,3367220.22
243682016,"amenity=cafe,name:en=C. Straits Cafe",-61768.60459,3363597.416
269769920,"shop=convenience,name:en=C-Store",-62987.79579,3365430.662
291955611,amenity=place_of_worship,-69439.7155,3360400.912
315022986,"amenity=cafe,name:en=Reggae Cafe",-65655.30411,3363906.96
315022987,"amenity=fast_food,name:en=KFC",-63969.25989,3367602.015
315757794,"shop=car,name:en=Toyota",-62197.72435,3368244.472
315765756,amenity=pub,-63563.63478,3363937.831
317740453,amenity=parking,-65253.84184,3364466.596
317740471,amenity=parking,-65557.83213,3364376.032
317784324,"amenity=restaurant,name:en=Grandma's Kitchen",-68588.27642,3366487.393
317788080,"amenity=bank,name:en=Huaxia Bank",-61089.98892,3365757.717
320241546,amenity=pub;ktv,-68670.77886,3366416.667
337082081,"amenity=bank,name:en=Bank of Hangzhou",-66214.8157,3364014.038
339645058,amenity=restaurant,-66502.26324,3365111.574
339645067,"amenity=fuel,name:en=Sinopec",-69016.53452,3364432.593
339646027,"shop=convenience,name:en=Shi Ji Hua Lian",-66425.44956,3365103.138
344626161,"shop=convenience,name:en=Quik",-60657.07308,3365289.247
