pid,tags_poi,poi_lon,poi_lat
416001626,amenity=cinema,-2577020.069,4403333.156
416030076,amenity=cinema,-2583806.833,4394721.236
416030083,amenity=cinema,-2584928.404,4391857.725
416030105,amenity=cinema,-2587189.151,4385885.822
416030130,amenity=cinema,-2589432.875,4380041.918
439196165,amenity=place_of_worship,-2583365.699,5623354.455
571794325,amenity=bus_station,-3844341.634,5773332.587
973481924,amenity=place_of_worship,-3776918.119,4099670.27
1194172694,amenity=place_of_worship,-1717164.889,4299488.546
1311551797,amenity=theatre,-2583456.702,5623345.364
1313799303,amenity=bank,-2581383.051,5628022.627
1313996292,amenity=restaurant,-2581255.506,5627862.519
1314186554,amenity=restaurant,-2582055.824,5630173.551
1360166983,amenity=shelter,-3953292.297,4470391.351
1360255848,amenity=shelter,-3958952.996,4458610.607
1406853501,amenity=place_of_worship,-1248378.006,4513536.243
1454649846,shop=bicycle,-3844721.136,5772334.793
1477438925,amenity=fuel,-1628537.447,4156183.956
1562635471,"amenity=fuel,name:en=KazMunayGas",-2764664.65,6159062.416
1562635510,amenity=public_building,-2763310.592,6157423.293
1562635580,amenity=cafe,-2763187.746,6157234.54
1588479203,amenity=restaurant,-1889487.322,4793819.718
1607499830,amenity=fuel,-1042090.165,4020851.457
1612692201,"amenity=place_of_worship,name:en=Guru Gem Gompa",-4019611.02,4511806.526
1619042497,amenity=hospital,-1869512.985,4781198.999
1783321594,shop=supermarket,-1890655.303,4130812.577
1783321601,shop=supermarket,-1893590.315,4132618.288
1783321695,shop=supermarket,-1825004.95,4164470.722
1783322283,shop=supermarket,-1836798.701,4213498.291
1783436051,shop=supermarket,-1916385.145,4148743.144
1783439530,amenity=fuel,-2002941.338,4244259.091
1783498692,shop=supermarket,-2130392.677,4025593.217
1794060551,amenity=fuel,-916816.9142,4229461.607
1803540363,amenity=toilets,-1870341.501,4780582.121
2146737489,amenity=courthouse,-3822271.869,5577097.409
2149621438,amenity=parking,-1559777.623,4253297.908
2335261135,shop=supermarket,-2187832.622,4945959.955
2340360160,amenity=place_of_worship,-1728437.758,4360552.266
2360441554,amenity=restaurant,-2187059.022,4946264.157
2360602096,amenity=fuel,-867424.789,3998459.417
