pid,tags_poi,poi_lon,poi_lat
273112525,amenity=fuel,-729451.6201,2511575.961
289558548,"amenity=bus_station,name:en=Central (Exchange Square)",-726682.102,2513839.254
290667464,"amenity=place_of_worship,name:en=Tin Hau Temple",-732086.8483,2507541.283
508027902,"amenity=embassy,name:en=British Consulate-General Hong Kong",-725999.9685,2512903.148
508640190,"shop=convenience,name:en=Tea shop",-731950.4071,2507585.284
564616703,amenity=fuel,-743198.6454,2512877.607
579167930,"shop=supermarket,name:en=International PARKnSHOP",-728363.852,2514059.628
633218245,"amenity=hospital,name:en=Hong Kong Adventist Hospital",-724087.0848,2511328.156
811126196,"amenity=shelter,name:en=Pavilion 16",-728753.7266,2513391.586
833654547,"amenity=toilets,name:en=Mee Lun Street Public Toilet",-727226.227,2513870.417
959433479,"shop=convenience,name:en=Circle K",-717350.2093,2510713.815
1003282413,"amenity=parking,name:en=Lai Tak Tsuen",-722894.2386,2512919.516
1010153871,amenity=parking,-719742.8834,2512932.088
1022088245,shop=bicycle,-743278.1291,2512886.873
1022479833,"amenity=bank,name:en=HSBC",-727053.6116,2513873.194
1022723137,amenity=toilets,-717673.7911,2508908.082
1023011691,"amenity=parking,name:en=China Overseas Building",-725161.15,2513025.792
1029692765,"amenity=bus_station,name:en=Quarry Bay",-720920.2154,2513412.307
1042244642,"amenity=parking,name:en=The Belcher's",-729211.0006,2514252.033
1044677716,amenity=post_box,-727668.7045,2512462.623
1051894936,"amenity=parking,name:en=Chi Fu Landmark",-728925.9625,2511068.445
1054616756,"amenity=parking,name:en=Aberdeen Car Park",-727111.9546,2510063.654
1071323585,"amenity=fast_food,name:en=Silk Snack",-726048.1924,2508292.915
1095691645,"amenity=hospital,name:en=Matilda International Hospital",-727802.0945,2511089.718
1095708153,"amenity=restaurant,name:en=Tsui Wah",-726940.5959,2513622.251
1108762281,amenity=toilets,-719185.1558,2509970.354
1121807113,"amenity=bus_station,name:en=Stanley Fort",-721461.2762,2504523.467
1122164806,amenity=toilets,-722009.2154,2505965.882
1130329106,"amenity=bank,name:en=HSBC Sheung Wan Branch",-727361.5166,2514225.536
1177378066,amenity=toilets,-722088.0586,2513934.133
1201309980,"amenity=place_of_worship,name:en=Hung Shing Temple",-758414.1473,2513259.147
1233509545,amenity=shelter,-721740.8681,2513670.294
1234261981,amenity=grave_yard,-753516.9197,2512486.388
1234261995,amenity=shelter,-752683.4541,2512382.635
1234318206,amenity=ferry_terminal,-726406.1499,2514201.869
1234379955,amenity=toilets,-720997.0763,2511459.282
1255386902,"amenity=place_of_worship,name:en=Tin Hau Temple",-717968.7204,2499608.606
1255613146,amenity=shelter,-732306.0407,2508624.25
1268481134,shop=lingerie,-724029.0146,2513045.069
1280317772,amenity=fast_food,-728868.1033,2514293.885
1281244414,amenity=ferry_terminal,-726593.6736,2514285.887
1294918332,amenity=drinking_water,-726328.1673,2513086.535
1298359466,amenity=bank,-725178.9132,2513010.569
1298359470,shop=convenience,-725132.8582,2513010.748
1298704466,"amenity=cafe,name:en=Honolulu Cafe",-725045.958,2512967.109
1298704529,"amenity=bank,name:en=Hang Seng Bank",-727244.1359,2514178.853
1298704570,"amenity=pharmacy,name:en=Watsons",-724947.4152,2513018.655
1298704580,"amenity=bank,name:en=Standard Chartered",-723975.244,2511939.041
1298704660,"amenity=restaurant,name:en=Lei Garden",-724547.6015,2513020.864
1298704683,"amenity=restaurant,name:en=The Spaghetti House",-725188.9776,2513009.547
1298704783,amenity=restaurant,-727016.0184,2513609.963
1298704811,amenity=fast_food,-724118.3854,2513248.139
1298704955,"shop=convenience,name:en=7-Eleven",-723889.4347,2513118.753
1299465461,amenity=bank,-724123.1456,2513141.028
1299465472,amenity=bank,-724164.6134,2513128.693
1299465501,shop=supermarket,-722286.011,2514233.607
1367769039,"amenity=library,name:en=Siu Sai Wan Public Library",-717267.1843,2510738.841
1367776703,amenity=bench,-718090.2022,2511032.276
1367776716,"amenity=school,name:en=HKUGA Primary School",-718279.1815,2511088.836
1447070784,amenity=shelter,-726005.1239,2508604.366
1482034414,"amenity=place_of_worship,name:en=North Point Alliance Church",-722890.6999,2513973.102
1484868557,amenity=parking,-714412.1913,2514012.884
1493252464,shop=garden_centre,-728827.6321,2510530.065
1571059914,amenity=pub,-727201.6592,2513616.639
1590222717,"amenity=place_of_worship,name:en=Hong Kong Elim Presbyterian Church",-720117.6337,2513468.408
1649800461,amenity=shelter,-718649.3371,2510174.483
1679275725,amenity=shelter,-723087.4322,2510376.501
1700635863,"amenity=parking,name:en=Wilson Parking (Viking Building)",-723147.2219,2513536.971
1705334100,"amenity=toilets,name:en=Wing Lok Street Public Toilet",-727514.1354,2514173.895
1705334111,"amenity=arts_centre,name:en=Sheung Wan Civic Centre",-727530.3951,2514130.366
1705334130,"amenity=marketplace,name:en=Sheung Wan Market",-727496.8776,2514131.388
1705682820,shop=convenience,-720062.4311,2513015.141
1722029190,"amenity=restaurant,name:en=Tsui Wah Restaurant",-719491.6087,2512568.408
1741259638,amenity=place_of_worship,-726056.8827,2508741.243
1742825892,amenity=shelter,-728727.0022,2511918.949
1774102734,amenity=bus_station,-786797.4983,2514088.785
1780374939,"amenity=toilets,name:en=Sing Woo Road Public Toilet",-723948.1231,2511971.626
1780374941,"amenity=pharmacy,name:en=Mannings",-723922.7163,2511981.265
1781450845,amenity=bus_station,-792725.2104,2511756.92
1784411561,"shop=convenience,name:en=7-Eleven",-717098.3019,2510640.76
1793358535,amenity=restaurant,-792688.3678,2508967.285
1797947625,"amenity=fast_food,name:en=McDonald's",-720899.3754,2513439.756
1818531012,"amenity=toilets,name:en=Nam Chung Aqua Privy",-757997.9014,2512158.808
1839446468,amenity=shelter,-722218.9768,2512389.543
1851226134,"shop=bicycle,name:en=The Bicycle World",-724659.453,2512888.238
1851249086,amenity=post_box,-726362.1163,2513497.428
1887781621,"amenity=place_of_worship,name:en=Tai Shing Fat Cho Temple",-726940.5631,2509840.15
1890950800,"amenity=place_of_worship,name:en=Christian and Missionary Alliance Wah Kee Church",-728016.8071,2510067.808
1925678683,"amenity=restaurant,name:en=Union Restaurant",-728906.805,2513887.718
1926836335,amenity=restaurant,-729545.3378,2513611.82
1928260905,"amenity=parking,name:en=Lun Fung Court Car Park",-728893.0725,2514344.785
1956625120,amenity=toilets,-727614.8473,2512334.249
1967306842,amenity=shelter,-753881.9939,2509493.86
2014720446,"name:en=U select,shop=supermarket",-719187.0987,2512647.291
2014725854,amenity=fast_food,-721357.1372,2514210.525
2044357055,amenity=toilets,-729387.178,2510297.511
2093261191,"amenity=bus_station,name:en=Chi Fu",-728854.6552,2511014.496
2097584283,"amenity=place_of_worship,name:en=Lo Pan Temple",-729398.0636,2513935.216
2102319100,"amenity=place_of_worship,name:en=Chinese Methodist Church",-725460.6605,2512993.42
2120886230,amenity=shelter,-729864.5428,2504400.879
2123565666,"shop=convenience,name:en=7-Eleven",-726929.9014,2513489.64
2124676772,shop=convenience,-727005.8456,2513568.383
2147701360,amenity=shelter,-744176.9696,2514043.612
2165428593,amenity=bus_station,-791092.7666,2511292.242
2216188554,amenity=grave_yard,-744441.8081,2512553.837
2300359462,"amenity=cafe,name:en=Yee Shun Dairy Company",-724034.0762,2513229.875
2318832097,"amenity=cafe,name:en=Pacific Coffee",-727584.7038,2512448.666
2414714372,shop=bakery,-720066.1719,2513021.093
2428256636,shop=supermarket,-721474.2606,2505994.622
2521837063,"amenity=library,name:en=City Hall Public Library",-726371.948,2513603.591
2562632949,amenity=bus_station,-790615.2584,2509088.496
2676671569,amenity=bus_station,-786790.2424,2513970.756
2678307680,amenity=bank,-723123.0739,2513875.219
2715038150,"shop=convenience,name:en=7-Eleven",-723117.9294,2513639.474
2718013790,amenity=parking,-757923.8812,2512798.512
2719227939,amenity=toilets,-723064.9543,2513332.438
2719397717,"amenity=restaurant,name:en=Teradaya",-723062.6922,2513575.322
2737583084,amenity=bus_station,-791469.6981,2508161.266
2741929087,amenity=shelter,-728426.9444,2511720.314
2800435404,amenity=parking,-790298.2769,2501605.927
2914195642,amenity=bus_station,-791912.0358,2508438.386
2914195643,amenity=bus_station,-791937.3569,2508443.289
2931447459,amenity=parking,-792393.8011,2501109.902
2931449198,amenity=bicycle_parking,-792584.9037,2502102.636
2935664496,amenity=toilets,-729755.9083,2513830.248
2935664498,amenity=restaurant,-729755.5989,2513819.597
2941442651,amenity=post_box,-719715.2827,2512891.533
2948029923,amenity=bus_station,-792756.9,2508955.746
2991173354,amenity=taxi,-726488.0247,2513525.124
2991175414,amenity=taxi,-726646.7179,2513881.498
2995395274,"shop=pawnbroker,name:en=Tung Tak Pawn Shop",-724459.3984,2513084.015
3005351010,amenity=toilets,-720715.871,2514087.174
3017363983,amenity=drinking_water,-723515.7751,2512636.249
3048670128,amenity=vending_machine,-792421.2623,2501389.446
3105517169,shop=music,-795569.6481,2513117.719
3105517181,shop=butcher,-794942.0796,2513710.622
3105517182,amenity=cafe,-795656.0978,2513086.66
3105517195,amenity=restaurant,-795479.396,2513085.933
3105517209,shop=books,-795372.5961,2513184.004
3105517215,shop=alcohol,-794915.5916,2513681.927
3105639692,amenity=fast_food,-795672.5896,2513076.643
3105641750,shop=hifi,-795903.8529,2513048.156
3116476866,amenity=toilets,-753672.7716,2512922.543
3121566800,amenity=toilets,-728298.8495,2512867.918
3124646097,amenity=place_of_worship,-791914.1528,2499928.202
3124646821,amenity=toilets,-791575.4716,2500094.451
3124646938,amenity=place_of_worship,-790035.5535,2500383.19
3124646945,amenity=toilets,-790284.357,2501551.809
3127057334,amenity=shelter,-713192.4898,2509425.355
3141194046,"amenity=bus_station,name:en=Shek Tong Tsui",-729191.4556,2514302.486
3180391381,amenity=toilets,-729597.7226,2514088.969
3210223504,"amenity=restaurant,name:en=Vic's Cafe",-790392.0492,2508379.796
3210223505,"amenity=cafe,name:en=Esplanade of Macau Maritime Museum",-793310.1809,2508182.32
3210223506,amenity=kindergarten,-790714.475,2501579.138
3231330625,amenity=recycling,-792059.3331,2510922.025
