pid,tags_poi,poi_lon,poi_lat
221547424,amenity=drinking_water,-2245700.324,3514664.186
298154461,"amenity=place_of_worship,name:en=Chokhorgyel",-2822138.506,3770394.128
332539165,"amenity=place_of_worship,name:en=Rutog Monastery",-2862748.388,3817310.663
345356772,amenity=post_office,-2981507.507,3851625.906
457900282,amenity=place_of_worship,-2023433.726,3616742.31
457901748,amenity=place_of_worship,-2025167.659,3615580.586
458720662,"amenity=place_of_worship,name:en=Tagong Monastery",-1889208.404,3623842.271
460277519,amenity=bus_station,-1832516.823,3479976.106
603391284,amenity=bus_station,-1603452.189,3643584.67
632389943,amenity=place_of_worship,-3649481.993,3899460.49
776127863,"amenity=place_of_worship,name:en=Ghost City",-1280647.638,3452560.706
965541755,amenity=bench,-1622605.998,3600748.049
965541769,amenity=bench,-1622584.852,3600745.862
1215828401,"amenity=fast_food,name:en=Dico's",-1626528.388,3604609.275
1288154221,shop=bicycle,-1078648.908,3922259.325
1309873143,amenity=biergarten,-1670425.337,3646994.646
1309874040,amenity=biergarten,-1670064.814,3645169.322
1309877805,amenity=toilets,-1671151.899,3646089.755
1309885274,amenity=public_building,-1670093.561,3645307.887
1401843113,amenity=restaurant,-1629504.308,3602993.344
1476148829,amenity=restaurant,-1623951.506,3844842.524
1488543247,shop=convenience,-1547455.407,3891085.707
1512532179,amenity=bench,-1078401.874,3922398.255
1512532215,amenity=bench,-1078364.022,3922428.165
1512532327,amenity=bench,-1078432.756,3922485.942
1512532393,amenity=bench,-1078449.729,3922518.434
1512532401,amenity=bench,-1078445.022,3922527.567
1643992937,"amenity=place_of_worship,name:en=Joro Gompa",-1978562.383,3808100.123
1652492984,amenity=restaurant,-1076444.273,3925193.176
1654606436,amenity=bench,-1094029.579,3936255.616
1694488836,amenity=school,-1193921.568,3960062.005
1705457558,amenity=place_of_worship,-2252788.48,3435941.004
1742655344,amenity=swimming_pool,-1411701.124,3436814.86
1743937790,shop=supermarket,-1082595.471,3925248.146
1777678199,amenity=bank,-959217.7835,3572275.577
1777678200,amenity=police,-959693.0964,3572431.022
1777678201,amenity=bank,-959204.6777,3572326.923
1777688020,amenity=school,-958940.2536,3570926.571
1777688023,amenity=fuel,-959913.9772,3570449.556
1783498583,shop=supermarket,-2012252.189,3699188.404
1783498615,amenity=place_of_worship,-1990954.209,3780538.291
1783498636,amenity=restaurant,-2003582.741,3810156.961
1783576462,shop=supermarket,-2101409.415,3493012.147
1783576472,amenity=atm,-2101987.213,3503643.484
1783576516,shop=supermarket,-2034120.692,3563444.309
1818702583,amenity=ferry_terminal,-1653682.553,3571254.658
1828308887,amenity=atm,-1087217.699,3920937.833
1828334973,shop=car_repair,-1081821.059,3921488.422
1843414949,amenity=theatre,-1082538.09,3924935.425
1845168662,amenity=townhall,-1723169.536,3887246.857
1873948844,amenity=restaurant,-1731142.296,3698189.92
1873948904,amenity=restaurant,-1728752.124,3700226.835
1882125668,amenity=bank,-2981672.913,3851180.945
1895315684,amenity=parking,-1517867.745,3723319.914
1913584573,amenity=cafe,-1085027.075,3925602.074
1947168640,amenity=marketplace,-1624452.535,3611151.099
1947168646,shop=clothes,-1624408.981,3610911.115
1947168647,shop=kiosk,-1624516.49,3610800.03
1947168665,amenity=pharmacy,-1624053.672,3609875.056
1947168666,shop=clothes,-1624096.543,3609825.875
1947168688,amenity=restaurant,-1625187.229,3609643.374
1958204083,amenity=restaurant,-1625638.378,3608927.682
1958204202,amenity=school,-1625164.878,3608273.421
1958204222,amenity=restaurant,-1624938.096,3608057.99
1958204273,amenity=school,-1624747.36,3608530.43
1958204283,shop=yes,-1625067.473,3608759.989
1964505369,amenity=cafe,-1623107.281,3607157.662
1964544881,amenity=restaurant,-1622602.9,3606211.516
1980604999,amenity=restaurant,-1624749.637,3609179.651
2014943629,amenity=place_of_worship,-1801139.16,3918646.462
2041740242,amenity=marketplace,-1581392.499,3901751.58
2041829350,amenity=toilets,-1577353.547,3909015.895
2059456929,amenity=restaurant,-1623742.747,3609294.769
2059477153,amenity=restaurant,-1622228.16,3608018.381
2059503471,shop=gift,-1622728.954,3608062.646
2059504217,shop=gift,-1623274.651,3608115.047
2059506055,shop=gift,-1623984.759,3608576.246
2060900701,shop=clothes,-1621879.144,3608039.441
2060905279,shop=clothes,-1622346.444,3608149.62
2158631124,amenity=post_box,-926879.7898,3739439.89
2181166918,amenity=school,-1544801.919,3694818.595
2202916409,amenity=school,-1067967.095,3926386.482
2261221891,"amenity=toilets,name:en=№ 06",-968818.5347,3935483.3
2271614417,amenity=parking,-1638581.695,3620552.545
2271616544,amenity=bus_station,-1638827.727,3619869.706
2379990925,"shop=mall,name:en=Golden Eagle",-1084207.813,3925122.831
2384135993,amenity=bank,-1405386.352,3437110.62
2384147756,amenity=restaurant,-1405260.704,3437006.575
2384147771,amenity=cafe,-1405297.273,3437135.144
2391681932,amenity=restaurant,-1405613.269,3436865.883
2391681956,amenity=pharmacy,-1405339.619,3436860.501
2419414654,amenity=fuel,-1630942.447,3594683.726
2419416498,amenity=fuel,-1624576.547,3602902.213
2491277458,amenity=fuel,-1071202.188,3853169.011
2522889430,amenity=place_of_worship,-1098622.306,3939607.902
2534180882,"amenity=place_of_worship,name:en=Baoguo Temple",-1714973.236,3495126.1
2534808207,shop=hairdresser,-1080333.189,3921485.95
2536252834,shop=supermarket,-1085180.103,3928392.699
2545925030,amenity=bus_station,-1720960.283,3499121.549
2564233543,shop=supermarket,-1631101.761,3605662.529
2564233544,amenity=restaurant,-1631074.46,3605668.166
2616247127,amenity=bank,-1082628.29,3915966.924
2616247129,amenity=bank,-1081911.894,3915449.691
2616247137,amenity=bank,-1081625.718,3916002.063
2634971736,shop=beverages,-1079532.965,3927530.491
2634980416,amenity=restaurant,-1078663.585,3922088.645
2634980428,amenity=cafe,-1078502.307,3922216.46
2634988841,shop=mobile_phone,-1080217.912,3923378.854
2634988894,shop=supermarket,-1080374.909,3922666.265
2684167382,amenity=parking,-1632166.494,3620773.078
2684167402,"amenity=bank,name:en=XiPu Branch of Postal Savings Bank of China",-1632279.014,3621296.793
2684167406,amenity=toilets,-1632590.248,3621464.597
2684167413,amenity=bicycle_parking,-1632940.116,3621811.027
2687919371,shop=yes,-1611214.22,3624311.093
2689275848,amenity=restaurant,-1610844.275,3624917.22
2692990675,amenity=parking,-1633770.283,3621658.324
2692990866,amenity=parking,-1633518.558,3621813.924
