pid,tags_poi,poi_lon,poi_lat
267195089,"amenity=cinema,name:en=Peace Cinema",68357.89982,3465926.69
306422446,amenity=restaurant,39122.98912,3474084.16
476073086,"amenity=restaurant,name:en=Xintianpin",72270.31314,3473234.297
476074732,"amenity=restaurant,name:en=Nanxiang",74683.68095,3475884.627
530695728,"amenity=ferry_terminal,name:en=Dongchang Road",70952.98558,3465469.664
530696600,amenity=ferry_terminal,71237.29158,3467093.767
573323411,amenity=fast_food,68422.43245,3466190.676
624465435,"amenity=theatre,name:en=Siping",71007.70525,3470577.918
638736460,"amenity=restaurant,name:en=Park Hotel",67947.10085,3466012.073
660051298,amenity=post_office,74380.99903,3474776.686
822647682,shop=books,61580.32507,3466695.331
845286600,amenity=bus_station,72664.69141,3474098.797
862644684,amenity=fuel,55297.78402,3469633.714
912282486,amenity=pub,69498.47582,3467472.332
915308820,amenity=toilets,75746.8823,3472024.229
956653828,shop=supermarket,72209.71391,3465236.168
1274333590,amenity=restaurant,-1969.080301,3477943.228
1274333591,amenity=restaurant,-1613.46082,3477958.844
1274343624,amenity=pharmacy,-8050.833687,3478126.995
1274993058,amenity=restaurant,-7878.876736,3477787.712
1275003470,amenity=restaurant,-7885.847306,3477823.775
1275008224,amenity=restaurant,-6743.486129,3476830.842
1275010722,amenity=restaurant,-5842.363943,3476998.665
1275010723,amenity=restaurant,-5960.512791,3477005.396
1290306227,shop=supermarket,79031.0563,3466366.446
1290306235,shop=toys,78956.01703,3466335.79
1317252176,"amenity=cafe,name:en=Häagen-Dazs",70308.60957,3466162.254
1317292023,amenity=bus_station,62018.09175,3465708.58
1473995280,amenity=restaurant,71117.34838,3465303.868
1563358863,shop=supermarket,67603.15009,3469715.56
1591698545,amenity=atm,-118597.8371,3583632.176
1627954222,shop=supermarket,60162.18994,3475429.791
1668265460,amenity=atm,-42867.47523,3506479.177
1678000213,amenity=fuel,-166991.4629,3579074.678
1678001899,shop=car_repair,-166625.1414,3579401.78
1678005813,amenity=kindergarten,-168450.8723,3577936.404
1678302779,amenity=bus_station,-168520.2188,3575207.506
1678330812,amenity=bicycle_rental,-167616.1445,3575589.71
1705430186,amenity=college,-155463.2799,3567026.031
1729919501,shop=convenience,-8132.277494,3478969.328
1750772313,amenity=restaurant,66216.58353,3465409.588
1750773431,amenity=restaurant,66292.1708,3465327.899
1755953334,amenity=bench,-116969.9596,3582707.178
1773236378,amenity=ferry_terminal,71440.57955,3467607.023
1870393842,amenity=toilets,73828.26419,3475992.273
1870393851,amenity=restaurant,73833.43585,3475955.372
1900511398,shop=mobile_phone,38847.99031,3474076.459
1948395925,amenity=post_office,-8267.158266,3479260.327
1948395930,shop=bakery,-9368.576294,3478926.015
1948395933,amenity=toilets,-8050.959636,3479158.224
1950380088,amenity=post_office,71625.47744,3471271.358
1971790854,amenity=taxi,-117923.2486,3583278.062
1971861713,amenity=toilets,-117366.0035,3583252.463
1971892495,amenity=hospital,-118785.4373,3583240.355
1971893849,amenity=bar,-118248.4813,3584900.143
1971935544,shop=supermarket,-118173.4383,3583179.2
1971939982,amenity=hospital,-118147.8317,3583181.685
1971955157,amenity=taxi,-117340.0835,3583707.779
1971955159,shop=clothes,-117305.501,3583573.93
1971955213,shop=hairdresser,-117308.7411,3583595.917
1971965067,shop=supermarket,-118311.6065,3584502.318
1971974418,shop=supermarket,-115705.7068,3582226.774
1971990271,amenity=bus_station,-118808.8467,3583028.618
1972011206,shop=supermarket,-117685.287,3582660.403
1972013030,shop=car_repair,-117635.8277,3582619.885
1972015327,amenity=bank,-115199.0003,3582337.276
1972036399,amenity=restaurant,-117256.5673,3584182.96
1972036426,shop=clothes,-117061.6377,3584557.089
1972064277,amenity=school,-117762.6396,3582960.473
1972065443,shop=supermarket,-118234.6541,3583432.76
1972094926,amenity=bank,-118096.986,3582953.854
