pid,tags_poi,poi_lon,poi_lat
277954661,amenity=fuel,-751880.0425,2550867.644
278394216,amenity=fuel,-739511.368,2543719.526
291158245,"amenity=toilets,name:en=Tai Kei Leng Public Toilet",-738455.5647,2531670.203
291158246,"amenity=toilets,name:en=Ma Tin Tsuen Public Toilet",-739266.7078,2532512.502
297147646,"amenity=bus_station,name:en=Tai Mei Tuk",-717134.838,2534375.751
297147696,amenity=parking,-715913.2348,2538068.339
426856757,shop=kiosk,-717057.4343,2534481.64
490734788,"amenity=toilets,name:en=Chung Hau Tsuen Public Toilet",-738381.861,2534075.865
490734866,"amenity=toilets,name:en=Sai Pin Wai (2) Public Toilet",-738346.8133,2533423.533
502728804,"amenity=bus_station,name:en=MTR Tuen Mun Station",-744931.8358,2527849.914
513763613,"amenity=border_control,name:en=Lok Ma Chau",-733448.5365,2539828.372
582596616,"amenity=toilets,name:en=Ha San Wai Aqua Privy",-735781.6725,2536014.419
727423744,amenity=shelter,-722267.6887,2530326.09
895313274,amenity=border_control,-729094.0678,2541934.999
1119008750,"amenity=bus_station,name:en=Dapeng Bus Station",-691114.9793,2546369.245
1119009092,amenity=restaurant,-684334.3682,2533259.77
1195319808,amenity=shelter,-706207.695,2532614.991
1214404361,amenity=conference_centre,-751139.6807,2538828.465
1277851529,amenity=restaurant,-714090.8862,2528123.009
1295950931,amenity=toilets,-740679.0423,2533172.241
1320185869,shop=supermarket,-749493.1043,2542458.637
1363218001,amenity=taxi,-750977.9698,2537948.173
1484567644,shop=bakery,-723700.831,2533318.594
1485667475,amenity=restaurant,-712827.6119,2539245.797
1492133621,amenity=parking,-750691.2429,2538874.361
1492640789,amenity=parking,-720229.3841,2526059.105
1563630790,amenity=fast_food,-723688.4883,2533318.93
1563668727,amenity=waste_basket,-723679.008,2533335.28
1597620322,amenity=taxi,-723389.9707,2533473.995
1597621384,amenity=parking,-723756.8387,2532666.72
1606824199,amenity=taxi,-727929.0784,2538833.98
1607428399,amenity=parking,-737738.4804,2533074.868
1670379612,shop=supermarket,-749568.529,2544194.222
1678171940,"shop=supermarket,name:en=Sam‘s Club",-739951.3653,2544722.745
1689242917,amenity=toilets,-715979.8657,2543673.05
1694245910,amenity=bank,-731984.9654,2544266.676
1698966259,amenity=marketplace,-731979.0526,2544078.233
1703715869,amenity=bus_station,-733935.4887,2544651.685
1703726997,amenity=police,-733999.0172,2545066.606
1716519477,"amenity=bus_station,name:en=Shaw College",-720891.8343,2529047.278
1719396406,amenity=restaurant,-736825.2218,2546908.451
1719396441,amenity=cinema,-737599.7225,2546872.771
1719396468,amenity=parking,-737248.3734,2547142.528
1719987746,amenity=shelter,-717233.116,2527137.719
1721496169,amenity=fuel,-734077.6612,2530392.436
1777082773,"amenity=bus_station,name:en=Ha Pak Nai",-747842.077,2531726.28
1777083428,amenity=toilets,-747117.5818,2532996.132
1777083923,amenity=shelter,-742658.5055,2533968.753
1780505689,amenity=bus_station,-716416.0782,2537725.622
1780635916,amenity=bicycle_parking,-721708.2437,2526147.568
1782718003,amenity=cinema,-715056.2,2561477.495
1782718005,amenity=fast_food,-715109.9298,2561443.285
1785704205,amenity=fast_food,-736681.2272,2594122.41
1785704228,shop=convenience,-736640.2762,2593843.325
1785704234,amenity=fast_food,-738574.5866,2591614.727
1786287229,amenity=taxi,-741779.6283,2534464.557
