_1,_2,_3,_4
-1083287.941,2518799.682,-334286.2158,3931231.478
-1175164.108,3931231.591,-330794.912,4461559.017
-339506.76,4461559.133,-330790.4435,4474794.166
-383496.7664,4474794.189,-330790.9004,4581220.778
-330790.2029,3964301.625,-327148.0336,4467725.339
-330785.4485,4467727.314,-327151.5801,4472789.252
-330776.076,4472789.258,-327147.8093,4475705.368
-330790.3968,4475708.969,-327148.0314,4493510.808
-327147.3443,3956231.455,-322440.5715,4469895.976
-327147.8089,4469901.459,-322442.1581,4473650.963
-327147.7061,4473651.084,-322447.1369,4476753.593
-327147.5357,4476754.27,-322440.6274,4485365.145
-322440.4748,3313122.321,33616.42312,4463573.034
-322438.4744,4463573.212,4368.733691,4475212.842
-322437.624,4475213.742,13480.42087,4483795.378
-322439.6748,4483795.987,3968322.092,9649632.056
